Namespace;Enumeration name;Enumeration literal;Designation;Definition;Origin;Original code
EnergyInfrastructure;ChargingModeEnum;mode2AC1p;Mode 2, AC 1 phase;Mode 2, AC 1 phase;;
EnergyInfrastructure;ChargingModeEnum;mode2AC3p;Mode 2, AC 3 phase;Mode 2, AC 3 phases;;
EnergyInfrastructure;ChargingModeEnum;mode3AC3p;Mode 3, AC 3 phase;Mode 3, AC 3 phases;;
EnergyInfrastructure;ChargingModeEnum;mode4DC; Mode 4, DC;Mode 4, DC;;
EnergyInfrastructure;ChargingModeEnum;other;Other;Some other charging mode;;
EnergyInfrastructure;ChargingModeEnum;unknown;Unknown;The type of the charging mode is unknown;;
EnergyInfrastructure;ChargingPointUsageTypeEnum;electricalDevices;Electrical devices;Provides a plug for electrical devices (e.g. shaver, mobile phones, hair dryer, ...);;
EnergyInfrastructure;ChargingPointUsageTypeEnum;electricBike;Electric bike;Charging of E-Bikes;;
EnergyInfrastructure;ChargingPointUsageTypeEnum;electricBoat;Electric boat;Charging of electric boats;;
EnergyInfrastructure;ChargingPointUsageTypeEnum;electricMotorcycle;Electric motorcycle;Charging of E-Motorcycles;;
EnergyInfrastructure;ChargingPointUsageTypeEnum;electricVehicle;Electric vehicle;Charging of electric vehicles;;
EnergyInfrastructure;ChargingPointUsageTypeEnum;lorryPowerConsumption;Lorry power consumption;Supply for lorries with power consumption, e.g. for refrigerated goods transports.;;
EnergyInfrastructure;ChargingPointUsageTypeEnum;motorhomeOrCaravanSupply;Motorhome or caravan supply;Supply for motorhomes or caravans;;
EnergyInfrastructure;ChargingPointUsageTypeEnum;other;Other;Other usage for the electric charging stations.;;
EnergyInfrastructure;ChargingPointUsageTypeEnum;overheadLineDrivenVehicles;Overhead line driven vehicles;The charging point supplies a overhead line, usually connected via pantographs;;
Situation;CollisionTypeEnum;collisionWithAnimal;Collision with animal;Collision of vehicle with one or more animals.;;
Situation;CollisionTypeEnum;collisionWithObstacle;Collision with obstacle;Collision of vehicle with an object of a stationary nature.;;
Situation;CollisionTypeEnum;collisionWithPerson;Collision with person;Collision of vehicle with one or more pedestrians.;;
Situation;CollisionTypeEnum;headOnCollision;Head on collision;Collision of vehicle with another vehicle head on.;;
Situation;CollisionTypeEnum;headOnOrSideCollision;Head on or side collision;Collision of vehicle with another vehicle either head on or sideways.;;
