Namespace;Enumeration name;Enumeration literal;Designation;Definition;Origin;Original code
Situation;OperatorActionStatusEnum;beingImplemented;Being implemented;The action is in the process of being implemented.;;
Situation;OperatorActionStatusEnum;beingTerminated;Being terminated;The action is in the process of being terminated either because the action has reached the end of its validity period or because new circumstances have arisen and its termination has been requested, e.g. because of a traffic jam on the alternative route.;;
Situation;OperatorActionStatusEnum;implemented;Implemented;The action is fully implemented.;;
Situation;OperatorActionStatusEnum;rejected;Rejected;The action has been rejected by the recipient of the request and hence is not implemented.;;
Situation;OperatorActionStatusEnum;requested;Requested;A request, either internal or external, has been received to implement an action. It has neither been approved nor has any activity yet been undertaken to implement the action.;;
Situation;OperatorActionStatusEnum;terminationRequested;Termination requested;A request, either internal or external, has been received to terminate the action, but activity to terminate the action has not yet commenced.;;
EnergyInfrastructure;OrganicGasTypeEnum;all;All;All organic gases are available at the refill point;;
EnergyInfrastructure;OrganicGasTypeEnum;biogas;Biogas;A mixture of different gases produced by the breakdown of organic matter.;;
EnergyInfrastructure;OrganicGasTypeEnum;cng;CNG;CNG (Compressed Natural Gas);;
EnergyInfrastructure;OrganicGasTypeEnum;lng;LNG;LNG (Liquefied Natural Gas);;
EnergyInfrastructure;OrganicGasTypeEnum;lpg;LPG;LPG (Liquefied Petroleum Gas);;
EnergyInfrastructure;OrganicGasTypeEnum;other;Other;Other organic gases;;
EnergyInfrastructure;OrganicGasTypeEnum;unknown;Unknown;The type of gas is unknown.;;
Facilities;OrganisationTypeEnum;privateSector;Private sector;Private sector organisation.;;
Facilities;OrganisationTypeEnum;publicSector;Public sector;Public sector organisation.;;
Parking;ParkingConditionsEnum;normalParkingConditionsSuspended;Normal parking conditions suspended;The parking conditions (possibly including tariffs) that normally apply are temporarily suspended.;;
Parking;ParkingConditionsEnum;other;Other;Other.;;
Parking;ParkingConditionsEnum;specialParkingConditionsInForce;Special parking conditions in force;Parking conditions, other than those that normally apply, are currently in force for the parking site.;;
Parking;ParkingFaultEnum;barrierMalfunction;Barrier malfunction;The entrance or exit barrier(s) are malfunctioning causing access problems to vehicles.;;
Parking;ParkingFaultEnum;communicationsFailure;Communications failure;Communications failure affecting parking site.;;
Parking;ParkingFaultEnum;entranceExitObstructed;Entrance exit obstructed;One or more entrances or exits are obstructed to some degree causing access problems to vehicles.;;
Parking;ParkingFaultEnum;erroneousOccupancyDisplayed;Erroneous occupancy displayed;Occupancy information displayed on signs associated with parking site (e.g. at entrance) are erroneous.;;
Parking;ParkingFaultEnum;erroneousOccupancyInformation;Erroneous occupancy information;Occupancy information is subject to errors due to malfunctioning equipment.;;
Parking;ParkingFaultEnum;noParkingInformationAvailable;No parking information available;No parking information available.;;
Parking;ParkingFaultEnum;other;Other;Other than as defined in this enumeration.;;
Parking;ParkingFaultEnum;paymentMachinesInoperative;Payment machines inoperative;Payment machines are not functioning normally.;;
Parking;ParkingFaultEnum;reservationServiceOutOfOrder;Reservation service out of order;Reservation service out of order.;;
Parking;ParkingFaultEnum;unknown;Unknown;Unknown parking facility fault.;;
Parking;ParkingFaultEnum;unspecified;Unspecified;General fault of unspecified type.;;
Parking;ParkingModeEnum;echelonParking;Echelon parking;Parking spaces are located in a diagonal relation to the road.;;
Parking;ParkingModeEnum;other;Other;Other.;;
Parking;ParkingModeEnum;parallelParking;Parallel parking;Parking spaces are located parallel to the road.;;
Parking;ParkingModeEnum;parkingOnOppositeSideOfRoad;Parking on opposite side of road;Parking is possible on the other side of the road.;;
Parking;ParkingModeEnum;perpendicularParking;Perpendicular parking;Parking spaces are located in an angle of nearly 90 degrees to the road.;;
Parking;ParkingOccupancyEnum;expectCarParkToBeFull;Expect car park to be full;Expect car park to be full.;;
Parking;ParkingOccupancyEnum;full;Full;Full.;;
Parking;ParkingOccupancyEnum;percentage10;Percentage 10;10% full.;;
Parking;ParkingOccupancyEnum;percentage20;Percentage 20;20% full.;;
Parking;ParkingOccupancyEnum;percentage30;Percentage 30;30% full.;;
Parking;ParkingOccupancyEnum;percentage40;Percentage 40;40% full.;;
Parking;ParkingOccupancyEnum;percentage50;Percentage 50;50% full.;;
Parking;ParkingOccupancyEnum;percentage60;Percentage 60;60% full.;;
Parking;ParkingOccupancyEnum;percentage70;Percentage 70;70% full.;;
Parking;ParkingOccupancyEnum;percentage80;Percentage 80;80% full.;;
Parking;ParkingOccupancyEnum;percentage90;Percentage 90;90% full.;;
Parking;ParkingOccupancyEnum;unknown;Unknown;Unknown.;;
Parking;ParkingOccupancyTrendEnum;decreasing;Decreasing;Parking space occupancy is decreasing.;;
Parking;ParkingOccupancyTrendEnum;decreasingQuickly;Decreasing quickly;Parking space occupancy is decreasing quickly.;;
Parking;ParkingOccupancyTrendEnum;decreasingSlowly;Decreasing slowly;Parking space occupancy is decreasing slowly.;;
Parking;ParkingOccupancyTrendEnum;increasing;Increasing;Parking space occupancy is increasing.;;
Parking;ParkingOccupancyTrendEnum;increasingQuickly;Increasing quickly;Parking space occupancy is increasing quickly.;;
Parking;ParkingOccupancyTrendEnum;increasingSlowly;Increasing slowly;Parking space occupancy is increasing slowly.;;
Parking;ParkingOccupancyTrendEnum;other;Other;Other.;;
Parking;ParkingOccupancyTrendEnum;stable;Stable;Parking space occupancy is stable.;;
Parking;ParkingOccupancyTrendEnum;unknown;Unknown;Unknown.;;
Parking;ParkingPlaceStatusEnum;almostFull;Almost full;The parking site is almost full (as defined by its configuration parameters).;;
Parking;ParkingPlaceStatusEnum;full;Full;The parking site is full (as defined by its configuration parameters).;;
Parking;ParkingPlaceStatusEnum;fullAtEntrance;Full at entrance;The parking site is considered full at its entrance (e.g. full sign is displayed at entrance or on managing VMS).;;
Parking;ParkingPlaceStatusEnum;noOvercrowding;No overcrowding;The parking site is not overcrowded.;;
Parking;ParkingPlaceStatusEnum;other;Other;Other.;;
Parking;ParkingPlaceStatusEnum;overcrowding;Overcrowding;The parking site is overcrowding (as defined by its configuration parameters).;;
Parking;ParkingPlaceStatusEnum;overcrowdingLevel1;Overcrowding level 1;The parking site is overcrowding in level 1 (as defined by its configuration parameters).;;
Parking;ParkingPlaceStatusEnum;overcrowdingLevel2;Overcrowding level 2;The parking site is overcrowding in level 2 (as defined by its configuration parameters).;;
Parking;ParkingPlaceStatusEnum;spacesAvailable;Spaces available;Parking spaces are currently available.;;
Parking;ParkingPlaceStatusEnum;unknown;Unknown;The status of the parking site is unknown.;;
Parking;ParkingRouteOrientationEnum;awayFromParkingSite;Away from parking site;Away from parking site.;;
Parking;ParkingRouteOrientationEnum;towardsParkingSite;Towards parking site;Towards parking site.;;
Parking;ParkingRouteTypeEnum;bicycle;Bicycle;A parking route for bicycles.;;
Parking;ParkingRouteTypeEnum;lorry;Lorry;A parking route for lorries.;;
Parking;ParkingRouteTypeEnum;other;Other;Another type of parking route.;;
Parking;ParkingRouteTypeEnum;pedestrian;Pedestrian;A parking route for pedestrian.;;
Parking;ParkingSafetyEnum;clearDistinctionCarsHGV;Clear distinction cars HGV;Separate parking for cars and HGVs clearly indicated.;;
Parking;ParkingSafetyEnum;clearSafetySigns;Clear safety signs;Clear signs that promote a safe traffic situation at the Truck Parking Area. Signs preferably with pictograms.;;
Parking;ParkingSafetyEnum;emergencySafety;Emergency safety;Contingency plan / management available / emergency contacts known to the staff. Examples of contacts: police, fire brigade, first aid, doctor.;;
Parking;ParkingSafetyEnum;pedestrianSafety;Pedestrian safety;Pedestrian safety on Truck Parking Area.;;
Parking;ParkingSafetyEnum;safeDecelerationAndAcceleration;Safe deceleration and acceleration;Safe deceleration at entrance/ acceleration at exit.;;
Parking;ParkingSafetyEnum;seperatedDangerousGood;Seperated dangerous good;Separate dangerous goods parking and cargo registration.;;
Parking;ParkingSecurityEnum;areaSeperatedFromSurroundings;Area seperated from surroundings;Site is separated from its surroundings. Can also be used to express a space for noise-producing vehicles, e.g. lorries with cooling generators.;;
Parking;ParkingSecurityEnum;cctv;CCTV;CCTV (camera observation).;;
Parking;ParkingSecurityEnum;dog;Dog;Dog.;;
Parking;ParkingSecurityEnum;externalSecurity;External security;External security, e.g. police or staff not directly belonging to the parking.;;
Parking;ParkingSecurityEnum;fences;Fences;Fences.;;
Parking;ParkingSecurityEnum;floodLight;Flood light;Flood light (stronger than lighting).;;
Parking;ParkingSecurityEnum;guard24hours;Guard 24 hours;24/24 guard.;;
Parking;ParkingSecurityEnum;lighting;Lighting;Site is illuminated in a normal way (but not as strong as 'floodLight').;;
Parking;ParkingSecurityEnum;none;None;There are no security measures.;;
Parking;ParkingSecurityEnum;other;Other;None of the values in this enumeration applies. Use 'parkingAdditionalSecurity' instead.;;
Parking;ParkingSecurityEnum;securityStaff;Security staff;Security staff.;;
Parking;ParkingSecurityEnum;socialControl;Social control;Social control e.g. parking situated in a neighbourhood.;;
Parking;ParkingSecurityEnum;unknown;Unknown;Unknown.;;
Parking;ParkingSpaceConvenienceEnum;bordersMarked;Borders marked;The border of the parking space is marked (painted on the ground).;;
Parking;ParkingSpaceConvenienceEnum;extraSpaceLeftSide;Extra space left side;There is some extra space on the left side of the parking space (in parking direction point of view), for example to improve the situation for wheelchair users.;;
Parking;ParkingSpaceConvenienceEnum;extraSpaceRightSide;Extra space right side;There is some extra space on the right side of the parking space (in parking direction point of view), for example to improve the situation for wheelchair users.;;
Parking;ParkingSpaceConvenienceEnum;nearbyPedestrianExit;Nearby pedestrian exit;The parking space is quite near to a pedestrian exit. Note: Can be more exactly defined by using 'dedicatedAccess'.;;
Parking;ParkingSpaceConvenienceEnum;other;Other;Other.;;
Parking;ParkingSpaceOccupancyDetectionEnum;anpr;ANPR;Automated License Plate Recognition information is tracked for inbound and outbound traffic. The difference between in and out counts enables an occupancy count.;;
Parking;ParkingSpaceOccupancyDetectionEnum;balancing;Balancing;Counting and balancing incoming and outcoming traffic amount ('indirect' method).;;
Parking;ParkingSpaceOccupancyDetectionEnum;imageAnalytics;Image analytics;Image analytics are used to evaluate a picture with known parking space geography and computer vision is used to determine occupancy at a point in time.;;
Parking;ParkingSpaceOccupancyDetectionEnum;modelBased;Model based;Occupancy detection is based on some model, i.e. hydrograph, forecasting or estimation.;;
Parking;ParkingSpaceOccupancyDetectionEnum;none;None;No occupancy detection available.;;
Parking;ParkingSpaceOccupancyDetectionEnum;other;Other;Other.;;
Parking;ParkingSpaceOccupancyDetectionEnum;spaceSensor;Space sensor;A sensor in each space detects the presence of a vehicle.;;
Parking;ParkingSpaceOccupancyDetectionEnum;unknown;Unknown;Unknown.;;
Parking;ParkingSpaceOccupancyDetectionEnum;userDeclaration;User declaration;User self-declared, where the user enters a space identifier and/or vehicle registration number, typically at the start of a parking session.;;
Parking;ParkingSpaceOccupancyDetectionEnum;videoAnalytics;Video analytics;Video analytics are used to evaluate a video stream to identify objects (vehicles) and direction of travel. The difference between the inbound objects and outbound objects determines occupancy.;;
Parking;ParkingSpaceOccupancyDetectionEnum;videoSpace;Video space;Video analytics or ANPR technologies are used to evaluate a video stream with known space geometry to identify objects (vehicles or license plates) occupying specific spaces.;;
Parking;ParkingSpaceOccupancyDetectionEnum;visual;Visual;Operator/owner makes periodic visual counts of the facility.;;
Parking;ParkingStructuralCharacteristicsEnum;driveThrough;Drive through;Entering as well as leaving the parking space can be done straight in the direction of parking.;;
Parking;ParkingStructuralCharacteristicsEnum;evenSurface;Even surface;Even surface enables safe truck manoeuvring.;;
Parking;ParkingStructuralCharacteristicsEnum;kerbside;Kerbside;Parking on the kerbside.;;
Parking;ParkingStructuralCharacteristicsEnum;openAir;Open air;There is no roof and not another storey on top of the parking space, which could prevent from rain, for example.;;
Parking;ParkingStructuralCharacteristicsEnum;softShoulder;Soft shoulder;Parking on the soft shoulder.;;
Parking;ParkingSupervisionEnum;controlCentreOffSite;Control centre off site;Control centre off site.;;
Parking;ParkingSupervisionEnum;controlCentreOnSite;Control centre on site;Control centre on site.;;
Parking;ParkingSupervisionEnum;none;None;None.;;
Parking;ParkingSupervisionEnum;onSite;On site;On site.;;
Parking;ParkingSupervisionEnum;other;Other;Other.;;
Parking;ParkingSupervisionEnum;patrol;Patrol;Patrol.;;
Parking;ParkingSupervisionEnum;remote;Remote;Remote.;;
Parking;ParkingSupervisionEnum;unknown;Unknown;Unknown.;;
Parking;ParkingUsageScenarioEnum;automatedParkingGarage;Automated parking garage;Parking is completely automated from the point of leaving the vehicle in an arrival bay to its delivery back to the driver in a pickup bay.;;
Parking;ParkingUsageScenarioEnum;carSharing;Car sharing;A parking site for people who are sharing cars organised by a car sharing company.;;
Parking;ParkingUsageScenarioEnum;delivery;Delivery;Parking for delivery;;
Parking;ParkingUsageScenarioEnum;dropOff;Drop off;The parking site or space(s) are designed for drop off only.;;
Parking;ParkingUsageScenarioEnum;dropOffMechanical;Drop off mechanical;A mechanical drop off service.;;
Parking;ParkingUsageScenarioEnum;dropOffWithValet;Drop off with valet;A valet drop off service.;;
Parking;ParkingUsageScenarioEnum;eventParking;Event parking;Parking is associated with an event. Use 'eventParkingType' to specify the event.;;
Parking;ParkingUsageScenarioEnum;guidanceToAvailableSpaces;Guidance to available spaces;Specifies, if there is a (visual) guidance system within the parking site, which helps the drivers to find free spaces. Note: This is not a parking VMS or a parking route, which are usually located outside the parking site.;;
Parking;ParkingUsageScenarioEnum;kissAndRide;Kiss and ride;Parking site with possibility for very short parking to drop off (or drop on) passengers for public transport.;;
Parking;ParkingUsageScenarioEnum;liftshare;Liftshare;A parking site for people who are sharing their cars.;;
Parking;ParkingUsageScenarioEnum;motorwayParking;Motorway parking;The parking is located directly on a motorway or a similar type of road.;;
Parking;ParkingUsageScenarioEnum;nearbyMotorwayParking;Nearby motorway parking;The parking is located with some distance to a motorway or a similar type of road but focussed on travellers from this motorway.;;
Parking;ParkingUsageScenarioEnum;other;Other;Some other usage scenario.;;
Parking;ParkingUsageScenarioEnum;overnightParking;Overnight parking;The parking site or space(s) are designed for overnight parking. Note that the absence of this scenario does not automatically mean a prohibition of overnight parking. See also PermitsAndProhibitions.;;
Parking;ParkingUsageScenarioEnum;parkAndCycle;Park and cycle;A parking site for people who continue their journey by bike.;;
Parking;ParkingUsageScenarioEnum;parkAndDrive;Park and drive;Parking for users that share their cars.;;
Parking;ParkingUsageScenarioEnum;parkAndRide;Park and ride;Parking for public transport users.;;
Parking;ParkingUsageScenarioEnum;parkAndWalk;Park and walk;A parking site for people who continue to walk.;;
Parking;ParkingUsageScenarioEnum;poiParking;POI parking;Parking in relation or in the near of a point of interest;;
Parking;ParkingUsageScenarioEnum;restArea;Rest area;The parking site is associated with a rest area, i.e. people can relax some time outside their car there. Note that the presence of some bench, picnic place or toilet is already sufficient; there is no need for a restaurant or a building.;;
Parking;ParkingUsageScenarioEnum;serviceArea;Service area;The parking site is associated with a service area.;;
Parking;ParkingUsageScenarioEnum;specialLocation;Special location;The parking is connected to or part of a special location which can be specified by an extra attribute.;;
Parking;ParkingUsageScenarioEnum;staffGuidesToSpace;Staff guides to space;Staff guides to space.;;
Parking;ParkingUsageScenarioEnum;truckParking;Truck parking;The parking site is designed for lorries (other vehicles are allowed as well).;;
Parking;ParkingUsageScenarioEnum;vehicleLift;Vehicle lift;Vehicle lift;;
Parking;ParkingUsageScenarioEnum;zone;Zone;A parking zone.;;
Parking;ParkingVacantSpacesEnum;expectNoSpacesAvailable;Expect no spaces available;Expect no parking spaces available.;;
Parking;ParkingVacantSpacesEnum;lessThan10SpacesAvailable;Less than 10 spaces available;Less than 10 parking spaces available.;;
Parking;ParkingVacantSpacesEnum;lessThan20SpacesAvailable;Less than 20 spaces available;Less than 20 parking spaces available.;;
Parking;ParkingVacantSpacesEnum;lessThan30SpacesAvailable;Less than 30 spaces available;Less than 30 parking spaces available.;;
Parking;ParkingVacantSpacesEnum;lessThan40SpacesAvailable;Less than 40 spaces available;Less than 40 parking spaces available.;;
Parking;ParkingVacantSpacesEnum;lessThan50SpacesAvailable;Less than 50 spaces available;Less than 50 parking spaces available.;;
Parking;ParkingVacantSpacesEnum;noParkingSpacesAvailable;No parking spaces available;No parking spaces available.;;
Parking;ParkingVacantSpacesEnum;onlyAFewSpacesAvailable;Only a few spaces available;Only a few parking spaces available.;;
Parking;ParkingVacantSpacesEnum;other;Other;Other.;;
Parking;ParkingVacantSpacesEnum;unknown;Unknown;Unknown.;;
Facilities;PaymentBrandsEnum;americanExpress;American express;American Express;;
Facilities;PaymentBrandsEnum;applePay;Apple Pay;Apple pay;;
Facilities;PaymentBrandsEnum;cirrus;Cirrus;Cirrus;;
Facilities;PaymentBrandsEnum;dinersClub;Diners club;Diners Club;;
Facilities;PaymentBrandsEnum;discoverCard;Discover Card;Discover Card;;
Facilities;PaymentBrandsEnum;giroCard;girocard;Giro card;;
Facilities;PaymentBrandsEnum;maestro;Maestro;Maestro;;
Facilities;PaymentBrandsEnum;masterCard;Mastercard;Master Card;;
Facilities;PaymentBrandsEnum;other;Other;Another brand;;
Facilities;PaymentBrandsEnum;visa;Visa;Visa;;
Facilities;PaymentBrandsEnum;vpay;VPay;VPay;;
Facilities;PaymentTimingEnum;other;Other;Other.;;
Facilities;PaymentTimingEnum;payAfterExit;Pay after exit;Payment on account;;
Facilities;PaymentTimingEnum;payAndExit;Pay and exit;Pay directly at the exit with a payment card or other means of payment (usually, this payment card must have been used when entering as well). ;;
Facilities;PaymentTimingEnum;payOnEntry;Pay on entry;Pay at start of the parking session (e.g. for pay and display) ;;
Facilities;PaymentTimingEnum;payPriorToExit;Pay prior to exit;Pay at machine on foot prior to returning to vehicle and use payment ticket to exit.;;
Facilities;PaymentTimingEnum;prepay;Prepay;Pay before entry;;
Parking;PedestrianAccessStyleEnum;cargoShippingDoor;Cargo shipping door;Door/portal primarily intended for the handing and transfer of goods and cargo;;
Parking;PedestrianAccessStyleEnum;door;Door;Door/portal without special characteristics - general pedestrian access;;
Parking;PedestrianAccessStyleEnum;doorWithAccessCredential;Door with access credential;Door/portal with controlled access by use of defined credentials;;
Parking;PedestrianAccessStyleEnum;doorWithSecurityReview;Door with security review;Door/portal with controlled access by security staff inspection;;
Parking;PedestrianAccessStyleEnum;emergencyExitDoor;Emergency exit door;Door/portal primarily intended for use in emergency evacuations circumstances - may be internal within sub-areas of a place;;
Situation;PersonCategoryEnum;adult;Adult;Adult.;;
Situation;PersonCategoryEnum;child;Child;Child (age 4 to 17).;;
Situation;PersonCategoryEnum;emergencyServicesPerson;Emergency services person;A member of the emergency services, other than the police.;;
Situation;PersonCategoryEnum;fireman;Fireman;A member of the fire service.;;
Situation;PersonCategoryEnum;infant;Infant;Infant (age 0 to 3).;;
Situation;PersonCategoryEnum;medicalStaff;Medical staff;A member of the medical service.;;
Situation;PersonCategoryEnum;memberOfThePublic;Member of the public;A member of the general public.;;
Situation;PersonCategoryEnum;policeman;Policeman;A member of the police force.;;
Situation;PersonCategoryEnum;politician;Politician;A politician.;;
Situation;PersonCategoryEnum;publicTransportPassenger;Public transport passenger;A passenger on or from a public transport vehicle.;;
Situation;PersonCategoryEnum;sickPerson;Sick person;A sick person.;;
Situation;PersonCategoryEnum;trafficOfficer;Traffic officer;A traffic patrol officer of the road authority.;;
Situation;PersonCategoryEnum;trafficWarden;Traffic warden;A member of the local traffic warden service.;;
Situation;PersonCategoryEnum;veryImportantPerson;Very important person;A very important person.;;
EnergyInfrastructure;PetrolTypeEnum;all;All;All petrol types are available.;;
EnergyInfrastructure;PetrolTypeEnum;leaded;Leaded;leaded petrol;;
EnergyInfrastructure;PetrolTypeEnum;octane95;Octane 95;petrol with 95 octanes;;
EnergyInfrastructure;PetrolTypeEnum;octane98;Octane 98;petrol with 98 octanes;;
EnergyInfrastructure;PetrolTypeEnum;other;Other;other types of petrol;;
EnergyInfrastructure;PetrolTypeEnum;superE10;Super E10;Super E10 petrol;;
EnergyInfrastructure;PetrolTypeEnum;superE5;Super E5;Super E5 petrol;;
EnergyInfrastructure;PetrolTypeEnum;unknown;Unknown;The type of petrol is unknown.;;
EnergyInfrastructure;PetrolTypeEnum;unleaded;Unleaded;Unleaded petrol;;
RoadTrafficData;PhysicalQuantityFaultEnum;intermittentDataValues;Intermittent data values;Data values are being produced at intermittent intervals which are not consistent with the expected reporting interval.;;
RoadTrafficData;PhysicalQuantityFaultEnum;noDataValuesAvailable;No data values available;No measured or calculated data values are currently available.;;
RoadTrafficData;PhysicalQuantityFaultEnum;other;Other;Other than as defined in this enumeration.;;
RoadTrafficData;PhysicalQuantityFaultEnum;spuriousUnreliableDataValues;Spurious unreliable data values;Spurious or unreliable data values are being produced.;;
RoadTrafficData;PhysicalQuantityFaultEnum;unspecifiedOrUnknownFault;Unspecified or unknown fault;An unspecified or unknown fault exists in the process which is generating the measured or calculated data.;;
Vms;PhysicalSupportEnum;centralReservationMounted;Central reservation mounted;Equipment mounted in the central reservation.;;
Vms;PhysicalSupportEnum;gantryMounted;Gantry mounted;Equipment mounted on an overhead gantry across the carriageway.;;
Vms;PhysicalSupportEnum;overheadBridgeMounted;Overhead bridge mounted;Equipment mounted overhead on a bridge structure.;;
Vms;PhysicalSupportEnum;roadsideCantileverMounted;Roadside cantilever mounted;Equipment mounted on a cantilever from the roadside.;;
Vms;PhysicalSupportEnum;roadsideMounted;Roadside mounted;Equipment mounted at the roadside.;;
Vms;PhysicalSupportEnum;trailerMounted;Trailer mounted;Equipment mounted on a movable trailer.;;
Vms;PhysicalSupportEnum;tunnelEntranceMounted;Tunnel entrance mounted;Equipment mounted on the entrance to a tunnel.;;
Vms;PhysicalSupportEnum;vehicleMounted;Vehicle mounted;Equipment mounted on a vehicle.;;
Vms;PictogramEnum;blankVoid;Blank void;Blank or void.;;
Vms;PictogramEnum;bridgeClosed;Bridge closed;Bridge closed.;;
Vms;PictogramEnum;carParkFull;Car park full;Car park full.;;
Vms;PictogramEnum;carParkSpacesAvailable;Car park spaces available;Spaces available in car park.;;
Vms;PictogramEnum;corridorForEmergencyVehicleAccess;Corridor for emergency vehicle access;Corridor for emergency vehicle access;;
Vms;PictogramEnum;curveArrowToLeft;Curve arrow to left;Single curve arrow to the left corresponding to an exit (without fork).;;
Vms;PictogramEnum;curveArrowToRight;Curve arrow to right;Single curve arrow to the right corresponding to an exit (without fork).;;
Vms;PictogramEnum;dangerOfFire;Danger of fire;Danger of fire.;;
Vms;PictogramEnum;doubleExitToLeft;Double exit to left;Triple arrow corresponding to two sequential exits to the left.;;
Vms;PictogramEnum;doubleExitToRight;Double exit to right;Triple arrow corresponding to two sequential exits to the right.;;
Vms;PictogramEnum;endOfAdvisorySpeed;End of advisory speed;End of advisory speed.;;
Vms;PictogramEnum;fastenChildrensSeatBelts;Fasten childrens seat belts;Fasten the seat belts of children.;;
Vms;PictogramEnum;fastenYourSeatBelt;Fasten your seat belt;Fasten your seat belt.;;
Vms;PictogramEnum;fire;Fire;Fire.;;
Vms;PictogramEnum;footballMatch;Football match;Football match (current or anticipated disruption due to football match).;;
Vms;PictogramEnum;hardShoulderNotRunning;Hard shoulder not running;The hard shoulder is not being used as a regular traffic lane but is reserved as a hard shoulder.;;
Vms;PictogramEnum;hardShoulderRunning;Hard shoulder running;The hard shoulder is being used as a regular traffic lane i.e. the lane is not acting as a hard shoulder.;;
Vms;PictogramEnum;horizontalDiversionToLeft;Horizontal diversion to left;Correspond to the horizontal orange (to the left) sign for diversion;;
Vms;PictogramEnum;horizontalDiversionToRight;Horizontal diversion to right;Correspond to the horizontal orange (to the right) sign for diversion;;
Vms;PictogramEnum;keepASafeDistance;Keep a safe distance;Keep a safe distance.;;
Vms;PictogramEnum;keepLeft;Keep left;Keep left.;;
Vms;PictogramEnum;keepRight;Keep right;Keep right.;;
Vms;PictogramEnum;lane1ClosedOf2;Lane 1 closed of 2;Lane 1 closed on a 2 lane carriageway. Lanes numbered from nearside (next to hard shoulder on motorway) to central median.;;
Vms;PictogramEnum;lane1ClosedOf3;Lane 1 closed of 3;Lane 1 closed on a 3 lane carriageway. Lanes numbered from nearside (next to hard shoulder on motorway) to central median.;;
Vms;PictogramEnum;lane1ClosedOf4;Lane 1 closed of 4;Lane 1 closed on a 4 lane carriageway. Lanes numbered from nearside (next to hard shoulder on motorway) to central median.;;
Vms;PictogramEnum;lane2ClosedOf2;Lane 2 closed of 2;Lane 2 closed on a 2 lane carriageway. Lanes numbered from nearside (next to hard shoulder on motorway) to central median.;;
Vms;PictogramEnum;lane3ClosedOf3;Lane 3 closed of 3;Lane 3 closed on a 3 lane carriageway. Lanes numbered from nearside (next to hard shoulder on motorway) to central median.;;
Vms;PictogramEnum;lane4ClosedOf4;Lane 4 closed of 4;Lane 4 closed on a 4 lane carriageway. Lanes numbered from nearside (next to hard shoulder on motorway) to central median.;;
Vms;PictogramEnum;lanes1And2And3ClosedOf4;Lanes 1 and 2 and 3 closed of 4;Lanes 1, 2 and 3 closed on a 4 lane carriageway. Lanes numbered from nearside (next to hard shoulder on motorway) to central median.;;
Vms;PictogramEnum;lanes1And2ClosedOf3;Lanes 1 and 2 closed of 3;Lanes 1 and 2 closed on a 3 lane carriageway. Lanes numbered from nearside (next to hard shoulder on motorway) to central median.;;
Vms;PictogramEnum;lanes1And2ClosedOf4;Lanes 1 and 2 closed of 4;Lanes 1 and 2 closed on a 4 lane carriageway. Lanes numbered from nearside (next to hard shoulder on motorway) to central median.;;
Vms;PictogramEnum;lanes2And3And4ClosedOf4;Lanes 2 and 3 and 4 closed of 4;Lanes 2, 3 and 4 closed on a 4 lane carriageway. Lanes numbered from nearside (next to hard shoulder on motorway) to central median.;;
Vms;PictogramEnum;lanes2And3ClosedOf3;Lanes 2 and 3 closed of 3;Lanes 2 and 3 closed on a 3 lane carriageway. Lanes numbered from nearside (next to hard shoulder on motorway) to central median.;;
Vms;PictogramEnum;lanes3And4ClosedOf4;Lanes 3 and 4 closed of 4;Lanes 3 and 4 closed on a 4 lane carriageway. Lanes numbered from nearside (next to hard shoulder on motorway) to central median.;;
Vms;PictogramEnum;leftHandLaneClosed;Left hand lane closed;Left-hand lane closed ahead.;;
Vms;PictogramEnum;narrowLanesAhead;Narrow lanes ahead;Narrow lanes ahead.;;
Vms;PictogramEnum;obliqueArrowToLeft;Oblique arrow to left;Single oblique straight arrow to the left corresponding to an exit (without fork).;;
Vms;PictogramEnum;obliqueArrowToRight;Oblique arrow to right;Single oblique straight arrow to the right corresponding to an exit (without fork).;;
Vms;PictogramEnum;other;Other;Other than as defined in this enumeration.;;
Vms;PictogramEnum;pollutionOrSmogAlert;Pollution or smog alert;Pollution or smog alert.;;
Vms;PictogramEnum;rightHandLaneClosed;Right hand lane closed;Right-hand lane closed ahead.;;
Vms;PictogramEnum;singleExitToLeft;Single exit to left;Double arrow corresponding to a single exit to the left.;;
Vms;PictogramEnum;singleExitToRight;Single exit to right;Double arrow corresponding to a single exit to the right.;;
Vms;PictogramEnum;smoke;Smoke;Smoke.;;
Vms;PictogramEnum;snowPloughInAction;Snow plough in action;Snow plough(s) in action.;;
Vms;PictogramEnum;speedCamerasInAction;Speed cameras in action;Speed cameras in action.;;
Vms;PictogramEnum;straightVerticalArrow;Straight vertical arrow;Straight vertical arrow (towards top).;;
Vms;PictogramEnum;trafficDeviatedToOppositeCarriagewayAhead;Traffic deviated to opposite carriageway ahead;All traffic is diverted to the opposite carriageway ahead in a contraflow layout.;;
Vms;PictogramEnum;trafficPartiallyDeviatedToOppositeCarriagewayAhead;Traffic partially deviated to opposite carriageway ahead;Traffic is partially diverted to the opposite carriageway ahead in a contraflow layout.;;
Vms;PictogramEnum;tunnelClosed;Tunnel closed;Tunnel closed.;;
Vms;PictogramEnum;verticalDiversion;Vertical diversion;Correspond to the vertical orange sign for diversion.;;
Situation;PlacesEnum;aroundBendsInTheRoad;Around bends in the road;Around bends in the road.;;
Situation;PlacesEnum;atCustomsPosts;At customs posts;At customs posts.;;
