Namespace;Enumeration name;Definition
Parking;ParkingSupervisionEnum;Defines the kind of supervision of the parking site.
Parking;ParkingUsageScenarioEnum;Types of parking usage (park & ride, kiss & ride, ...)
Parking;ParkingVacantSpacesEnum;Parking vacant spaces enum.
Facilities;PaymentBrandsEnum;Brands for payment cards
Facilities;PaymentTimingEnum;Details of when payment is required.
Parking;PedestrianAccessStyleEnum;A list of the supported pedestrian access characteristic types.
Situation;PersonCategoryEnum;Categories of person.
EnergyInfrastructure;PetrolTypeEnum;A table of different petrol types
RoadTrafficData;PhysicalQuantityFaultEnum;Types of faults that may affect the measurement or calculation of physical quantities
Vms;PhysicalSupportEnum;The ways in which equipments such as VMS are mounted or deployed on the road.
Vms;PictogramEnum;Types of pictogram not currently covered by ISO 14823 Graphic Data Dictionary
Situation;PlacesEnum;List of types of places.
Common;PollutantTypeEnum;Types of pollutant that can be measured in the atmosphere.
Situation;PoorEnvironmentTypeEnum;Types of poor environmental conditions.
LocationReferencing;PositionConfidenceCodedErrorEnum;Error code for horizontal or vertical position confidence
Vms;PositionXAbsoluteEnum;Absolute horizontal positions of an item within an assigned space.
Vms;PositionXRelativeEnum;Relative horizontal positions of one item to another.
Vms;PositionYAbsoluteEnum;Absolute verticals positions of an item within an assigned space.
Vms;PositionYRelativeEnum;Relative vertical positions of one item to another.
Common;PrecipitationIntensityEnum;Intensity of precipitation.
Common;PrecipitationTypeEnum;Types of precipitation.
EnergyInfrastructure;PricingPolicyEnum;A list of possible pricing policies at refill points
Situation;ProbabilityOfOccurrenceEnum;Levels of confidence that the sender has in the information, ordered {certain, probable, risk of}.
Common;PublicEventTypeEnum;Types of public events.
Parking;PublicTransportTypeEnum;Special measures in the context of public transport.
Parking;PublicTransportVehicleType;Types of public transport vehicles
Facilities;RateAvailabilityTypeEnum;A list of rate availability types.
Facilities;RateLineTypeEnum;A list of rate line types.
Facilities;RateTypeEnum;A list of supported rate types.
LocationReferencing;ReferentTypeEnum;A set of types of known points along a linear object such as a road.
EnergyInfrastructure;RefillPointStatusEnum;The status of a refill point.
EnergyInfrastructure;RefillSolutionHydrogenEnum;A table of different refilling solutions for hydrogen
Parking;RegulationEnum;Regulation parameters for actions.
LocationReferencing;RelativePositionOnCarriagewayEnum;Identifies a relative position across a carriageway
Situation;RelativeTrafficFlowEnum;Levels of assessment of the traffic flow conditions relative to normally expected conditions at this date/time.
Situation;ReroutingManagementTypeEnum;Management actions relating to rerouting.
Facilities;ReservationTypeEnum;Different types of reservation.
Facilities;RightTypeEnum;A list of the supported RightSpecification types available for reference.
Situation;RoadMaintenanceTypeEnum;Types of road maintenance.
Situation;RoadOperatorServiceDisruptionTypeEnum;Types of disruption to road operator services relevant to road users.
